Date;Time;Severity;TID;This;Function;Message
2020/05/28;19:44:16.600;INFO;7080;0;client::ClientEngine::waitingRequests@163;"Client not waiting for requests"
2020/05/28;19:46:06.890;INFO;3228;0;client::ClientEngine::connectClient@93;"Client trying to connect on IP 127.0.0.1 port 62111"
2020/05/28;19:46:06.897;DEBUG;3228;0;client::ClientTCPSocket::connectClient@59;"Socket = 1940"
2020/05/28;19:46:06.903;DEBUG;3228;0;client::ExampleTerminalPCSCContactless::connect@122;"Reader connected: Alcor Micro USB Smart Card Reader 0"
2020/05/28;19:46:06.904;INFO;3228;0;client::ClientEngine::connectClient@120;"Client connected on IP 127.0.0.1 port 62111"
2020/05/28;19:46:06.962;INFO;23404;0;client::ClientEngine::waitingRequests@151;"Client ready to process incoming requests"
2020/05/28;19:46:09.080;INFO;23404;0;client::ClientEngine::handleRequest@174;"Request received from server: {""data"":"""",""request"":3,""timeout"":4999}"
2020/05/28;19:46:09.095;INFO;26464;0;client::Echo::run@24;"Request ""echo"" is being processed"
2020/05/28;19:46:09.130;INFO;23404;0;client::ClientEngine::sendResult@228;"Response sent to server: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":0,""response"":""6D 00"",""terminal_description"":""OK""}"
2020/05/28;19:46:10.042;INFO;23404;0;client::ClientEngine::handleRequest@174;"Request received from server: {""data"":"""",""request"":2,""timeout"":4999}"
2020/05/28;19:46:10.488;INFO;26360;0;client::ExampleTerminalPCSCContactless::disconnect@293;"Terminal PCSC disconnected successfully"
2020/05/28;19:46:10.699;INFO;26360;0;client::ClientEngine::disconnectClient@143;"Client disconnected successfully"
2020/05/28;19:46:10.975;DEBUG;23404;0;client::ClientTCPSocket::sendPacket@106;"Failed to receive data from server -  [socket:18446744073709551615][buffer:-788529152][size:4][flags:0]"
2020/05/28;19:46:10.976;DEBUG;23404;0;client::ClientEngine::sendResult@223;"Error during sendResult"
