Date;Time;Severity;TID;This;Function;Message
2019/04/26;12:37:42.827;INFO;7096;0;server::ServerEngine::initServer@51;"Server launched"
2019/04/26;12:37:42.831;INFO;7096;0;server::ServerEngine::startListening@70;"Start listening on IP 127.0.0.1 and port 62111"
2019/04/26;12:37:42.868;INFO;8468;0;server::ServerTCPSocket::acceptConnection@82;"acceptConnection started"
2019/04/26;12:37:50.090;INFO;8468;0;server::ServerTCPSocket::acceptConnection@95;"acceptConnection succeeded"
2019/04/26;12:37:50.116;INFO;11804;0;server::ServerEngine::connectionHandshake@112;"Client connected [id:1][name:client_contactless - SCM Microsystems Inc. SCL010 Contactless Reader 0]"
2019/04/26;12:37:50.116;INFO;8468;0;server::ServerTCPSocket::acceptConnection@82;"acceptConnection started"
2019/04/26;12:37:52.851;INFO;2040;0;server::ServerEngine::asyncRequest@161;"Data sent to client: {""data"":"""",""request"":1,""timeout"":2000}"
2019/04/26;12:37:52.856;INFO;2040;0;server::ServerEngine::asyncRequest@167;"Data received: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":0,""response"":""Readers: SCM Microsystems Inc. SCL010 Contactless Reader 0 | Status: Card has specific communication protocols set | Protocol: The ISO 7816/3 T=1 protocol is in use"",""terminal_description"":""OK""}"
2019/04/26;12:37:52.868;INFO;10040;0;server::ServerEngine::asyncRequest@161;"Data sent to client: {""data"":"""",""request"":3,""timeout"":2000}"
2019/04/26;12:37:52.879;INFO;10040;0;server::ServerEngine::asyncRequest@167;"Data received: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":0,""response"":""6D 00"",""terminal_description"":""OK""}"
2019/04/26;12:37:52.890;INFO;8404;0;server::ServerEngine::asyncRequest@161;"Data sent to client: {""data"":""00 A4 04 00 00"",""request"":6,""timeout"":2000}"
2019/04/26;12:37:52.917;INFO;8404;0;server::ServerEngine::asyncRequest@167;"Data received: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":0,""response"":""6F 72 84 08 A0 00 00 01 51 00 00 00 A5 66 73 57 06 07 2A 86 48 86 FC 6B 01 60 0B 06 09 2A 86 48 86 FC 6B 02 02 02 63 09 06 07 2A 86 48 86 FC 6B 03 64 16 06 09 2A 86 48 86 FC 6B 04 02 55 06 09 2A 86 48 86 FC 6B 04 03 70 65 0E 06 0C 2A 86 48 86 FC 6B 05 06 01 00 00 01 66 0C 06 0A 2B 06 01 04 01 2A 02 6E 01 03 9F 6E 06 00 77 83 13 01 08 9F 65 01 FF 90 00"",""terminal_description"":""OK""}"
2019/04/26;12:37:52.930;INFO;7356;0;server::ServerEngine::asyncRequest@161;"Data sent to client: {""data"":"""",""request"":3,""timeout"":2000}"
2019/04/26;12:37:52.941;INFO;7356;0;server::ServerEngine::asyncRequest@167;"Data received: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":0,""response"":""6D 00"",""terminal_description"":""OK""}"
2019/04/26;12:37:52.949;DEBUG;8468;0;server::ServerTCPSocket::acceptConnection@86;"Failed to call accept() [listen_socket:232][WSAError:10004]"
2019/04/26;12:37:52.951;DEBUG;11152;0;server::ServerTCPSocket::sendPacket@120;"Failed to send data size to client -  [socket:248][buffer:637534208][size:4][flags:0]"
2019/04/26;12:37:52.951;INFO;11152;0;server::ServerEngine::asyncRequest@161;"Data sent to client: {""data"":"""",""request"":2,""timeout"":2000}"
2019/04/26;12:37:52.951;DEBUG;11152;0;server::ServerTCPSocket::receivePacket@137;"Failed to receive data size from client -  [socket:248][buffer:0][size:4][flags:0]"
2019/04/26;13:32:19.407;INFO;9324;0;server::ServerEngine::initServer@51;"Server launched"
2019/04/26;13:32:19.410;INFO;9324;0;server::ServerEngine::startListening@70;"Start listening on IP 127.0.0.1 and port 62111"
2019/04/26;13:32:19.410;INFO;11640;0;server::ServerTCPSocket::acceptConnection@82;"acceptConnection started"
2019/04/26;13:32:23.111;INFO;11640;0;server::ServerTCPSocket::acceptConnection@95;"acceptConnection succeeded"
2019/04/26;13:32:23.139;INFO;9476;0;server::ServerEngine::connectionHandshake@112;"Client connected [id:1][name:client_contactless - SCM Microsystems Inc. SCL010 Contactless Reader 0]"
2019/04/26;13:32:23.142;INFO;11640;0;server::ServerTCPSocket::acceptConnection@82;"acceptConnection started"
2019/04/26;13:32:29.411;INFO;10216;0;server::ServerEngine::asyncRequest@161;"Data sent to client: {""data"":"""",""request"":1,""timeout"":2000}"
2019/04/26;13:32:29.415;INFO;10216;0;server::ServerEngine::asyncRequest@167;"Data received: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":0,""response"":""Readers: SCM Microsystems Inc. SCL010 Contactless Reader 0 | Status: Card has specific communication protocols set | Protocol: The ISO 7816/3 T=1 protocol is in use"",""terminal_description"":""OK""}"
2019/04/26;13:32:29.433;INFO;3140;0;server::ServerEngine::asyncRequest@161;"Data sent to client: {""data"":""00 A4 04 00 00"",""request"":6,""timeout"":2000}"
2019/04/26;13:32:29.460;INFO;3140;0;server::ServerEngine::asyncRequest@167;"Data received: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":0,""response"":""6F 72 84 08 A0 00 00 01 51 00 00 00 A5 66 73 57 06 07 2A 86 48 86 FC 6B 01 60 0B 06 09 2A 86 48 86 FC 6B 02 02 02 63 09 06 07 2A 86 48 86 FC 6B 03 64 16 06 09 2A 86 48 86 FC 6B 04 02 55 06 09 2A 86 48 86 FC 6B 04 03 70 65 0E 06 0C 2A 86 48 86 FC 6B 05 06 01 00 00 01 66 0C 06 0A 2B 06 01 04 01 2A 02 6E 01 03 9F 6E 06 00 77 83 13 01 08 9F 65 01 FF 90 00"",""terminal_description"":""OK""}"
2019/04/26;13:32:29.466;INFO;4852;0;server::ServerEngine::asyncRequest@161;"Data sent to client: {""data"":"""",""request"":3,""timeout"":2000}"
2019/04/26;13:32:29.475;INFO;4852;0;server::ServerEngine::asyncRequest@167;"Data received: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":0,""response"":""6D 00"",""terminal_description"":""OK""}"
2019/04/26;13:32:29.479;INFO;10292;0;server::ServerEngine::asyncRequest@161;"Data sent to client: {""data"":"""",""request"":10,""timeout"":2000}"
2019/04/26;13:32:29.534;INFO;10292;0;server::ServerEngine::asyncRequest@167;"Data received: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":0,""response"":""3B 88 80 01 00 00 00 00 80 81 71 00 79"",""terminal_description"":""OK""}"
2019/04/26;13:32:29.554;INFO;10212;0;server::ServerEngine::asyncRequest@161;"Data sent to client: {""data"":"""",""request"":11,""timeout"":2000}"
2019/04/26;13:32:29.606;INFO;10212;0;server::ServerEngine::asyncRequest@167;"Data received: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":0,""response"":""3B 88 80 01 00 00 00 00 80 81 71 00 79"",""terminal_description"":""OK""}"
2019/04/26;13:32:29.646;INFO;8280;0;server::ServerEngine::asyncRequest@161;"Data sent to client: {""data"":"""",""request"":12,""timeout"":2000}"
